 DateTime,Rain,PET,EPot,EAct,W,SM,RS,RI,ExcS,ExcI,R,RObs
2012- 7- 2  1: 0: 0,     0.004,     0.037,     0.037,     0.019,    66.453,     0.520,     0.005,     1.118,     0.000,     0.000,    27.546,     0.000
2012- 7- 2  2: 0: 0,     0.008,     0.037,     0.037,     0.019,    66.438,     0.520,     0.003,     1.097,     0.000,     0.000,    26.984,     0.000
2012- 7- 2  3: 0: 0,     0.000,     0.153,     0.153,     0.080,    66.358,     0.520,     0.002,     1.076,     0.000,     0.000,    26.505,     0.000
2012- 7- 2  4: 0: 0,     0.001,     0.153,     0.153,     0.079,    66.279,     0.519,     0.001,     1.055,     0.000,     0.000,    26.110,     0.000
2012- 7- 2  5: 0: 0,     0.561,     0.153,     0.153,     0.118,    66.592,     0.522,     0.005,     1.062,     0.008,     0.108,    25.801,     0.000
2012- 7- 2  6: 0: 0,     0.171,     0.245,     0.245,     0.131,    66.573,     0.521,     0.005,     1.049,     0.000,     0.028,    25.565,     0.000
2012- 7- 2  7: 0: 0,     0.036,     0.245,     0.245,     0.117,    66.464,     0.521,     0.005,     1.029,     0.000,     0.001,    25.426,     0.000
2012- 7- 2  8: 0: 0,     0.006,     0.245,     0.245,     0.125,    66.339,     0.520,     0.005,     1.008,     0.000,     0.000,    25.426,    10.400
2012- 7- 2  9: 0: 0,     0.029,     0.265,     0.265,     0.140,    66.218,     0.519,     0.005,     0.989,     0.000,     0.002,    25.561,    10.400
2012- 7- 2 10: 0: 0,     0.061,     0.265,     0.265,     0.143,    66.121,     0.518,     0.004,     0.971,     0.000,     0.008,    25.665,    10.400
2012- 7- 2 11: 0: 0,     0.024,     0.265,     0.265,     0.139,    65.997,     0.517,     0.003,     0.951,     0.000,     0.002,    25.668,    10.400
2012- 7- 2 12: 0: 0,     0.047,     0.079,     0.079,     0.040,    65.988,     0.517,     0.002,     0.933,     0.000,     0.007,    25.587,    13.000
2012- 7- 2 13: 0: 0,     0.350,     0.079,     0.079,     0.064,    66.198,     0.518,     0.002,     0.930,     0.000,     0.069,    25.470,    13.000
2012- 7- 2 14: 0: 0,     1.267,     0.079,     0.079,     0.068,    67.085,     0.526,     0.003,     0.986,     0.002,     0.302,    25.352,    13.000
2012- 7- 2 15: 0: 0,     0.541,     0.011,     0.011,     0.011,    67.480,     0.529,     0.003,     0.999,     0.001,     0.134,    25.240,    13.000
2012- 7- 2 16: 0: 0,     1.029,     0.011,     0.011,     0.011,    68.230,     0.535,     0.004,     1.046,     0.003,     0.267,    25.166,    13.000
2012- 7- 2 17: 0: 0,     0.693,     0.011,     0.011,     0.011,    68.730,     0.539,     0.005,     1.071,     0.002,     0.180,    25.153,    13.000
2012- 7- 2 18: 0: 0,     0.376,     0.004,     0.004,     0.004,    69.000,     0.541,     0.005,     1.076,     0.001,     0.100,    25.232,    13.000
2012- 7- 2 19: 0: 0,     0.193,     0.004,     0.004,     0.004,    69.138,     0.542,     0.005,     1.069,     0.000,     0.052,    25.331,    13.000
2012- 7- 2 20: 0: 0,     0.046,     0.004,     0.004,     0.004,    69.168,     0.542,     0.005,     1.052,     0.000,     0.012,    25.380,    13.000
2012- 7- 2 21: 0: 0,     0.000,     0.000,     0.000,     0.000,    69.168,     0.542,     0.004,     1.032,     0.000,     0.000,    25.348,    12.567
2012- 7- 2 22: 0: 0,     0.002,     0.000,     0.000,     0.000,    69.169,     0.542,     0.004,     1.012,     0.000,     0.000,    25.228,    12.133
2012- 7- 2 23: 0: 0,     0.000,     0.000,     0.000,     0.000,    69.169,     0.542,     0.003,     0.993,     0.000,     0.000,    24.995,    11.700
